"ID","DEFINITION","FORMATION_PROCESS","CLAY","SILT","SAND","SOIL_COMPACTION","SOIL_COLOR","CERAMICS_OBSERVATIONS"
3429,"Blackish-brown compact deposit S of wall 3030","Accumulation",0.0,80.0,20.0,"Friable","Brown",""
3430,"Compact dark brown deposit in S. half of room 1","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
3431,"Yellow compact deposit W. of room 2","Accumulation",10.0,80.0,10.0,"Compact","Yellow",""
3432,"Reddish brown silty deposit in south half of room 1","Accumulation",10.0,80.0,10.0,"Friable","Light Brown","Inclusion of impasto, impasto rosso, and large storage containers. No diagnostic pieces of any ceramic class. "
3433,"Fill of cut 3434 S.of tomb 52","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3434,"Cut south of tomb 52","Cutting",0.0,0.0,0.0,"","",""
3435,"Light brown silty deposit at NE corner of room 2","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3436,"Rubble deposit in S. half of room 1","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
3437,"Light grey compact deposit in NW corner of room 2","Accumulation",10.0,80.0,10.0,"Compact","Light Gray",""
3438,"Brown silty fill in cut 3434","Accumulation",0.0,80.0,20.0,"Compact","Light Brown",""
3439,"Black compact deposit in SW corner of room 1","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
3440,"Stony layer of the fill in cut 3434, S. of tomb 52","Accumulation",0.0,80.0,20.0,"Friable","Brown",""
3441,"Reddish Silty deposit in SE corner of Room 1","Accumulation",10.0,80.0,10.0,"Friable","Red",""
3442,"Grey silty rubble deposit in the west half of room 2","Accumulation",10.0,80.0,10.0,"Friable","Light Gray",""
3443,"Brown silty fill of cut 3434","Accumulation",10.0,80.0,10.0,"Compact","Light Brown","Four fragmentary pieces of impasto."
3444,"Reddish yellow silt deposit in S. half of room 1","Accumulation",10.0,80.0,10.0,"Friable","Light Brown","Ceramic Classes are poor with no diagnostics."
3445,"Brown linear deposit west of wall 3031 in room 2","Accumulation",0.0,80.0,20.0,"Friable","Brown",""
3446,"Deposit of brown soil S. of wall 3029","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3447,"Dark brown deposit W. of wall 3029, equals 3393","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
3448,"Grey compact silty deposit E. of W. Baulk","Accumulation",10.0,80.0,10.0,"Hard","Light Gray",""
3449,"Grey deposit with stone inclusions E. of wall 3029","Accumulation",10.0,80.0,10.0,"Friable","Light Gray",""
3450,"Semi-circular ashy deposition southwest half of Room 2.","Accumulation",10.0,80.0,10.0,"Friable","Light Gray","There are 2 pieces of impasto with decoration - one with an incised rectangular design and one with uniform linear stripes (likely done with a tool)."
3451,"Light yellow silty deposit in SE portion of room 2","Accumulation",10.0,80.0,10.0,"Compact","Light Yellow",""
3452,"Ashy deposit S. of wall 3030 in room 2","Accumulation",0.0,80.0,20.0,"Friable","Light Gray",""
3453,"Reddish silty deposit at east limit of Room 1.","Accumulation",0.0,80.0,20.0,"Friable","Light Yellow",""
3454,"Brown silty deposit covering stones in center of room 2","Accumulation",10.0,80.0,10.0,"Friable","Other_2",""
3455,"Pedestals beneath stones of feature 3326, east of wall 3031","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3456,"Linear grey deposit east of wall 3029","Accumulation",20.0,80.0,0.0,"Friable","Light Brown",""
3457,"Deposit of rubble E. of wall 3031","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
3458,"Light grey silty deposit south of tomb 51 in room 1","Accumulation",10.0,80.0,10.0,"Friable","Light Gray","Ceramics mainly consist of small not diagnostic sherds, but a few have incision or applied decoration (lines and rope). "
3459,"Brown deposit of pedestal directly beneath northernmost stone of wall 3096 in NW corner of Room 2","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3460,"Reddish deposit beneath pedestal of 3096 equals 3274","Accumulation",10.0,80.0,10.0,"Friable","Red",""
3461,"Brown linear deposit in NW corner of Room 2 equals 3387","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3462,"Tufo stones that are part of circular stone deposit in E. half of room 2","Intentional Deposition",10.0,80.0,10.0,"Hard","Light Gray","Few fragments of impasto and impasto rosso. "
3463,"Light brown deposit east of wall 3031","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3464,"Brown deposit beneath pedestal of 3096, equals 3275","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3465,"Brown deposit with yellow inclusions beneath pedestal of wall 3096","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3466,"Grey compact deposit in SW corner of Room 1","Accumulation",10.0,80.0,10.0,"","","A few fragmentary pieces of impasto, impasto rosso, and large storage containers.  Only one small fragment of buccheroid impasto."
3467,"Deposit of rubble S. of wall 3030 in Room 2","Accumulation",20.0,80.0,0.0,"Friable","Light Brown",""
3468,"Red compact deposit beneath pedestal of 3096","Accumulation",10.0,80.0,10.0,"Friable","Red",""
3469,"Loose grey deposit E. of wall 3031","Accumulation",10.0,80.0,10.0,"Friable","Light Gray",""
3470,"Reddish grey silty deposit in South half of Room 2","Accumulation",10.0,80.0,10.0,"Friable","Red","Fragmentary pieces of impasto as well as one fragment of commonware. No diagnoastic pieces within the ceramic classes."
3471,"Gray silty deposit E. of wall 3096","Accumulation",10.0,80.0,10.0,"Friable","Light Gray",""
3472,"Yellowish gray silty deposit in the SE quadrant of Room 1","Accumulation",0.0,80.0,20.0,"Friable","Light Gray",""
3473,"Grayish brown compact deposit W. of Room 2","Accumulation",10.0,80.0,10.0,"Compact","Light Brown","Fragmentary inclusions of Large Storage Containers, Impasto Rosso, and Impasto. No diagnostic pieces. "
3474,"Brown silty deposit E. of wall 3031 N. of drainage channel","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3475,"Compact gray deposit in NE corner of Room 2","Accumulation",10.0,80.0,10.0,"Compact","Gray",""
3476,"Circular gray silty deposit in center of Room 2","Accumulation",10.0,80.0,10.0,"Friable","Light Brown","Large amounts of fragmentary Impasto, Impasto Rosso, and large storage containers. Presence of one cooking stand. Two potential impasto diagnostics (not in the Dell'osa publication), likely from the same vessel. "
3477,"Yellowish gray compact deposit in SE quadrant of Room 1","Accumulation",0.0,80.0,20.0,"Friable","Light Gray",""
3478,"Circular reddish yellow deposit in S. half of room 1","Accumulation",10.0,80.0,10.0,"Friable","Light Gray",""
3479,"Linear yellow deposit E. of wall 3096","Accumulation",10.0,80.0,10.0,"Friable","Light Yellow","Large inclusions of Impasto and Impasto Rosso.  Fragmentary and few inclusions of Bucchero, Buccheroid impasto, painted creamware, painted fineware, and commonware."
3480,"Gray fill of cut 3484, E. of wall 3031","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
3481,"Linear grey deposit E. of wall 3031","Accumulation",10.0,80.0,10.0,"Friable","Gray","Fragments of all included ceramic classes - no diagnostics. "
3482,"Gray silty deposit in SE corner of room 2, W. of wall 3031","Accumulation",0.0,80.0,20.0,"Compact","Gray",""
3483,"Compact gray deposit in S. half of Room 1, N of wall 3030","Accumulation",10.0,80.0,10.0,"Compact","Gray",""
3484,"Circular cut filled by 3480, E of wall 3031","Cutting",0.0,0.0,0.0,"","",""
3485,"Gray compact surface in N. half of Room 2","Intentional Deposition",10.0,80.0,10.0,"Compact","Gray",""
3486,"Two stones deposited at bottom of cut 3484","Accumulation",0.0,0.0,0.0,"","",""
3487,"Brown silty deposit in center of Room 1","Accumulation",10.0,80.0,10.0,"Friable","Brown","The impasto inclusions are extremely vitrified. There are several pieces of impasto with small holes - used for hanging. "
3488,"Linear yellowish deposit E. of wall 3031.","Accumulation",10.0,80.0,10.0,"Friable","Light Yellow",""
3489,"Compact gray linear deposit in SE corner of Room 1, N. of Wall 3030","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
3490,"Two stones and associated soil in center of Room 2","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3491,"Light gray silty deposit in S. of Room 2, W of wall 3031","Accumulation",10.0,80.0,10.0,"Friable","Light Yellow",""
3492,"Light brown surface in center of Room 2","Intentional Deposition",10.0,80.0,10.0,"Compact","Light Gray",""
3493,"Compact brown surface with rubble inclusions in center of Room 2","Accumulation",0.0,0.0,0.0,"","",""
3494,"Dark brown compact deposit E. of wall 3031","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3495,"Yellowish silty deposit E. of wall 3096","Accumulation",10.0,80.0,10.0,"Friable","Light Yellow",""
3496,"Light gray linear layer of silt W. of 3096 in N. of room 2","Accumulation",10.0,80.0,10.0,"Friable","Light Gray","One piece of impasto was in much poorer condition than the other pieces. "
3497,"Compact yellowish gray layer in N. of Room 2","Accumulation",10.0,80.0,10.0,"Friable","Light Yellow",""
3498,"Linear brownish gray deposit W. of wall 3031 in Room 2","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
3499,"Brown silty deposit in NW corner of Room 2","Accumulation",0.0,80.0,20.0,"Friable","Brown",""
3500,"Tufo and travertine stones filling cut 3597","Intentional Deposition",0.0,0.0,0.0,"","",""
3501,"Cut filled by 3500","Cutting",0.0,0.0,0.0,"","",""
3502,"Compact gray layer in NW of Room 1 , E of 3076","Accumulation",10.0,80.0,10.0,"Compact","Light Gray",""
3503,"Brown silty layer E. of 3031","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3504,"Compact yellowish gray deposit S. of Room 2","Accumulation",10.0,80.0,10.0,"Compact","Light Gray",""
3505,"Fill of cut 3501","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
3506,"Stones in fill of cut 3501","Intentional Deposition",10.0,80.0,10.0,"Loose","Brown",""
3507,"Yellowish Brown deposit E. of Rooms 1 and 2","Accumulation",10.0,80.0,10.0,"Compact","Light Gray",""
3508,"Reddish Sandy deposit in center of Room 1","Accumulation",10.0,80.0,10.0,"Friable","Red",""
3509,"Deposit of stones E. of wall 3029 in Room 2","Accumulation",0.0,80.0,20.0,"Friable","Light Brown",""
3510,"Grey silty deposit east of 3031 north of drainage channel","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
3511,"Gray ashy deposit E. of 3076 in Room 1","Accumulation",10.0,80.0,10.0,"Friable","Black",""
3512,"Gray ashy deposit in N. half of Room 2","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
3513,"Yellowish deposit E. of Room 1, W.of tombs 41 and 42","Accumulation",10.0,80.0,10.0,"Friable","Light Yellow",""
3514,"Yellow compact deposit in SE Quadrant of area N. of drainage channel","Accumulation",10.0,80.0,10.0,"Compact","Light Brown","One piece of impasto wall was burned to the point of near vitrification. "
3515,"Brown silty deposit filling a linear cut in the bedrock (SU 3530) in NE quadrant of area","Accumulation",10.0,80.0,10.0,"Loose","Brown","All ceramics fragmentary. No diagnostics. Date based on inclusions of bucchero, buccheroid impasto, and impasto rosso."
3516,"Basalt and tufo stones W. of 3064, E. of wall 3237","Collapse",0.0,0.0,0.0,"Hard","Gray",""
3517,"Light brown deposit E. of 3031","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3518,"Brown rubble deposit in center of Room 2","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3519,"Burnt ceramic in silty deposit in center of Room 1","Accumulation",10.0,80.0,10.0,"Compact","Light Gray",""
3520,"Burnt cooking stand in center of Room 1","Accumulation",10.0,80.0,10.0,"Compact","Red",""
3521,"Wattle and Daub in NE corner of Room 2","Accumulation",10.0,80.0,10.0,"Compact","Red",""
3522,"Wattle and Daub E. of 3096","Accumulation",10.0,80.0,10.0,"Friable","Red",""
3523,"Compact reddish deposit in center of Room 1","Accumulation",10.0,80.0,10.0,"Compact","Red",""
3524,"Fill of circular cut 3525 E. of Room 1 in linear cut in bedrock","Accumulation",10.0,80.0,10.0,"Loose","Light Brown",""
3525,"Circular cut in bedrock filled by 3524","Cutting",0.0,0.0,0.0,"","",""
3526,"Fill of cut 3203, in centre of room 2, equals 3200","Accumulation",15.0,80.0,5.0,"Compact","Yellow",""
3527,"Linear deposit of rubble N. of 3030","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3528,"Stone fill of circular cut 3525 east of Room 1","Accumulation",0.0,0.0,0.0,"","",""
3529,"Reddish triangular deposit in center of Room 1","Accumulation",10.0,80.0,10.0,"Friable","Red",""
3530,"Channel cut in bedrock running N. and E. of Room 1","Cutting",0.0,0.0,0.0,"","",""
3531,"Dark brown silty fill of cut 3203 in Room 2","Accumulation",0.0,80.0,20.0,"Loose","Brown",""
3532,"Reddish brown silt deposit in S. half of Room 1","Accumulation",10.0,80.0,10.0,"Friable","Red",""
3533,"Top layer of fill in cut 3597","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
3534,"Stone block at bottom of cut 3203, in center of Room 2","Construction",0.0,0.0,0.0,"","",""
3535,"Fill of cut 3501, equals 3505","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3536,"Cut in centre of Room 2, equals 3203","Cutting",0.0,0.0,0.0,"","",""
3537,"Bownish gray deposit in NW corner of Room 2","Accumulation",0.0,80.0,20.0,"Friable","Brown",""
3538,"Compact brown deposit S. of wall 3030 in Room 2","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
3539,"Compact brown deposit E. of 3076 in Room 1","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
3540,"Second layer of fill in cut 3501","Accumulation",0.0,80.0,20.0,"Loose","Brown",""
3541,"Dark brown and ashy deposit N. of wall 3030 and E. of Tomb 52","Accumulation",10.0,80.0,10.0,"Friable","Black",""
3542,"Deposit of stone and ceramic rubble NW of 3568 in Room 2","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3543,"Deposit of stone and ceramic rubble SW of 3568 in Room 2","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3544,"Fill of cut 3545 beneath fill 3540 in NE corner of Room 2","Accumulation",0.0,90.0,10.0,"Loose","Brown",""
3545,"Circular cut within cut 3501, filled by 3544","Cutting",0.0,0.0,0.0,"","",""
3546,"Deposit of stones E. of west baulk","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
3547,"Tufo stone in center of Room 2","Accumulation",0.0,0.0,0.0,"","",""
3548,"Deposit of rubble at E. limit of area","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3549,"Compact brown deposit W. of 3568 in Room 2","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3550,"Brown and ashy deposit in NW corner of Room 2","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3551,"Deposit of tufo and basalt stones in s. half of Room 1.","Accumulation",10.0,80.0,10.0,"Loose","Black",""
3552,"Fill of rectangular cut 3553 in SE quadrant of Room 1.","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3553,"Rectangular cut in NE. quadrant of Room 2","Cutting",0.0,0.0,0.0,"","",""
3554,"Blackish-brown fill of 3597, beneath 3533","Accumulation",0.0,90.0,10.0,"Compact","Black",""
3555,"Deposit of stones and ceramic in fill of cut 3553","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3556,"Circular brown stony deposit in S. half of Room 2","Accumulation",10.0,10.0,10.0,"Friable","Brown",""
3557,"Deposit of brown soil beneath 3555 in fill of cut 3553","Accumulation",10.0,80.0,10.0,"Friable","Brown","One piece of impasto wall was burnt to the point of near vitrification."
3558,"Ceramic vessel near W. limit of cut 3553","Accumulation",0.0,0.0,0.0,"","","Base of large storage container intact and nicely preserved. However, the piece is not diagnostic."
3559,"Brown silty fill beneath vessel 3558, fills cut 3553","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3560,"Triangular deposit in S. half of Room 2","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
3561,"Fill of cut 3562","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
3562,"Circular cut in S. half of Room 1, filled by 3561","Cutting",0.0,0.0,0.0,"","",""
3563,"Compact reddish-yellow deposit in NW corner of Room 2 ","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3564,"Brown silty of 3597 beneath 3554","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3565,"Stone fill of cut 3553 beneath 3559 ","Accumulation",0.0,0.0,0.0,"","",""
3566,"Brown silty fill beneath stones 3565, fill of cut 3553","Accumulation",0.0,0.0,0.0,"","",""
3567,"Stones in fill of 3597, beneath 3564","Accumulation",0.0,0.0,0.0,"","",""
3568,"Tufo and travertine feature in center of Room 2","Intentional Deposition",0.0,0.0,0.0,"","",""
3569,"Fill of cut 3570","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
3570,"Circular cut in SE quadrant of room 1","Cutting",0.0,0.0,0.0,"","",""
3571,"Top layer of fill of cut 3572","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3572,"Oblong cut in NE corner of Room 2","Cutting",0.0,0.0,0.0,"","",""
3573,"Deposit of soil beneath travertine slabs of 3568 in room 2","Accumulation",10.0,80.0,10.0,"Friable","Light Yellow",""
3574,"Deposit of stones beneath fill 3569 in cut 3570","Construction",0.0,0.0,0.0,"","",""
3575,"Stones with yellow coating of 3568, beneath 3573","Accumulation",10.0,80.0,10.0,"Compact","Yellow","The pieces of dolium are in poor condition and are falling apart. There are several pieces of misfired buccheroid impasto."
3576,"Lower deposit of stones beneath fill 3569 in cut 3570","Intentional Deposition",10.0,80.0,10.0,"Friable","Brown",""
3577,"Yellowish red deposit E. of wall 3029 in Room 2","Accumulation",10.0,80.0,10.0,"Friable","Red",""
3578,"Fill of cut 3572 beneath 3571","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3579,"Yellowish brown deposit of silt in S. half of Room 1","Accumulation",10.0,80.0,10.0,"Friable","Light Yellow",""
3580,"Concentration of unknown material in W. half of room 2","Accumulation",10.0,80.0,10.0,"Compact","Red","only four (dirty) pieces of pottery found, very small and relatively insignificant "
3581,"Fill of cut 3588 in NE. corner of Room 2","Accumulation",10.0,80.0,10.0,"Friable","Brown","14/15 found in flotation"
3582,"Compact yellow deposit beneath feature 3568","Accumulation",10.0,80.0,10.0,"Compact","Light Yellow",""
3583,"Fill of large circular cut 3584 in S. half of Room 1","Accumulation",10.0,80.0,10.0,"Friable","Brown","Small piece of limestone in bulk finds."
3584,"Large circular cut filled by 3583 in S. half of Room 1","Cutting",0.0,0.0,0.0,"","",""
3585,"Fill of cut 3586 in S. half of Room 1","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3586,"Cut filled by 3585 in S. half of Room 1","Cutting",0.0,0.0,0.0,"","",""
3587,"Stone fill in cut 3588 beneath fill 3581","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3588,"Circular cut (center)  in NE corner of Room 2","Cutting",0.0,0.0,0.0,"","",""
3589,"Stone fill of cut 3586, beneath 3585 in S. half of Room 1","Intentional Deposition",10.0,80.0,10.0,"Friable","Brown","found in flotation"
3590,"Dark brown silty deposit in SE. corner of Room 2","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3591,"Grayish brown circular deposit in S. half of Room 2","Accumulation",40.0,60.0,0.0,"Compact","Brown",""
3592,"Dark brown compact circular deposit in N. half of Room 2","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
3593,"Light grey silty deposit in centre of Room l","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3594,"Grey compact deposit N. of T. 52 and of 3076","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
3595,"Tufo stone in centre of room 2","Intentional Deposition",0.0,0.0,0.0,"","",""
3596,"Reddish-yellow linear deposit E. of room 1","Accumulation",10.0,70.0,20.0,"Friable","Yellow",""
3597,"Shallow rectangular cut in NE corner of Room 2","Cutting",0.0,0.0,0.0,"","",""
3598,"Gray silty deposit with stones S. of wall 3030 in Room 2","Accumulation",10.0,80.0,10.0,"Friable","Light Gray",""
3599,"Blackish brown deposit with stones SE of wall 3031","Accumulation",10.0,80.0,10.0,"Friable","Black",""
3600,"Grey silty deposit with pebbles in E. half of Room 1","Accumulation",10.0,80.0,10.0,"Compact","Gray",""
3601,"Fill of cut 3602 in NE. corner of Room 2","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
3602,"Circular cut (south) in NE. corner of Room 2","Cutting",0.0,0.0,0.0,"","",""
3603,"Linear deposit of yellow silt at E. limit of area","Accumulation",10.0,80.0,10.0,"Friable","Yellow",""
3604,"Circular deposit of reddish brown silt in E. half of room 1","Accumulation",10.0,80.0,10.0,"Friable","Red",""
3605,"Deposit of stones in cut 3602","Intentional Deposition",0.0,0.0,0.0,"","",""
3606,"Grey ashy deposit in N. half of Room 2","Accumulation",10.0,80.0,10.0,"Soft","Light Gray",""
3607,"Grey silty deposit in W. half of room 1","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
3608,"Fill of cut 3609, T. 53","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3609,"Rectangular cut at E. limit of Room 1, T.53","Cutting",0.0,0.0,0.0,"","",""
3610,"Grey compact deposit in SW quadrant of Room 1","Accumulation",10.0,80.0,10.0,"Hard","Light Gray",""
3611,"Grey silty deposit E. of 3031","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
3612,"Grey silty layer S. of 3030 in N. half of Room 2","Accumulation",10.0,80.0,10.0,"Compact","Light Brown",""
3613,"Reddish-brown compact deposit in centre of Room 2, W. of wall 3031","Accumulation",25.0,75.0,0.0,"Compact","Brown",""
3614,"Stone fill of cut 3609, beneath 3608, T. 53","Intentional Deposition",0.0,0.0,0.0,"","",""
3615,"Compact yellow deposit E. of Tomb 53","Accumulation",10.0,80.0,10.0,"Compact","Brown","found in flotation"
3616,"Yellow triangular deposit E. of 3031","Accumulation",10.0,80.0,10.0,"Loose","Yellow",""
3617,"Circular cut within central part of room 2","Cutting",0.0,0.0,0.0,"","",""
3618,"Top fill within cut 3617","Accumulation",10.0,80.0,10.0,"Loose","Brown",""
3619,"Brown silty fill of T. 53 beneath stones 3614","Accumulation",10.0,80.0,10.0,"Friable","Brown",""
3620,"Compact deposit of grey silt S.of 3030 in Room 2","Accumulation",20.0,80.0,0.0,"Compact","Light Gray",""
3621,"Yellow silty deposit in SE. quadrant of area","Accumulation",10.0,80.0,10.0,"Friable","Yellow",""
3622,"Tufo and travertine rocks within top fill of cut 3617","Accumulation",0.0,0.0,0.0,"Compact","Other_2",""
3623,"Cup located in eastern half of T. 53","Intentional Deposition",0.0,0.0,0.0,"","",""
3624,"Bronze covering skeleton 3625 in T. 53","Intentional Deposition",0.0,0.0,0.0,"","",""
3625,"Skeleton in T. 53","Intentional Deposition",0.0,0.0,0.0,"","",""
3626,"Yellowish-grey deposit of silt at SE. limit of area.","Accumulation",10.0,80.0,10.0,"Friable","Brown","content contains a range in size, detail, quality, and type"
3627,"Lower stone fill of cut 3617, beneath 3622","Accumulation",0.0,0.0,0.0,"","",""
3628,"Blackish-brown ashy deposit SE of 3076 in Room 1","Accumulation",10.0,80.0,10.0,"Friable","Gray",""
3629,"Grey silty deposit E of 3076 in room l.","Accumulation",10.0,80.0,10.0,"Friable","Light Gray",""
3630,"Soft silty linear deposit E of 3096 and 3031","Accumulation",10.0,80.0,10.0,"Loose","Light Gray","A selection of large pieces; some burned, either in kiln or house; no overly rounded breaks"
3631,"Compact grayish yellow deposit NE of Room 2","Accumulation",10.0,80.0,10.0,"Compact","Light Brown","found in flotation"
3632,"Stone packing at S. limit T. 53","Intentional Deposition",0.0,0.0,0.0,"","",""
3633,"Tufo and travertine stones E of 3076 in Room 1","Accumulation",10.0,80.0,10.0,"Friable","Light Brown",""
3634,"Brown silty deposit east of 3031","Accumulation",10.0,80.0,10.0,"Friable","Brown","no diagnostics in this SU"
3635,"Light grey silty deposit in center of room 2","Accumulation",10.0,80.0,10.0,"Soft","Light Gray",""
3636,"Fill of cut 3637, south of T. 50","Intentional Deposition",10.0,80.0,10.0,"Friable","Gray","cooking stand sherd made of impasto rosso"
3637,"Cut filled by 3636, S. of T. 50","Cutting",0.0,0.0,0.0,"","",""
3638,"Yellowish grey silty deposit in southeast corner of area","Accumulation",10.0,80.0,10.0,"Friable","Light Yellow","no well-preserved diagnostics for comparanda"
3639,"Fill of cut 3640, in E. half of area","Intentional Deposition",10.0,80.0,10.0,"Friable","Gray","no well-preserved diagnostics for comparanda"
3640,"Fill of cut 3641, below 3639, in E. half of area","Accumulation",10.0,80.0,10.0,"Loose","Brown","no well-preserved diagnostics for comparanda"
3641,"Cut filled by 3639, 3640, in E. half of area","Cutting",0.0,0.0,0.0,"","",""
3642,"Fill of linear cut 3647 in W. half of area","Intentional Deposition",10.0,80.0,10.0,"Compact","Light Gray","One large fragment of impasto otherwise sherds Very small"
3643,"Fill of cut 3644, N. of 3031","Intentional Deposition",10.0,80.0,10.0,"Friable","Light Gray","no diagnostic sherds in this SU"
3644,"Cut filled by 3643, N. of 3031","Cutting",0.0,0.0,0.0,"","",""
3645,"Orange fill of rectangular cut 3646, W. of 3029","Intentional Deposition",10.0,80.0,10.0,"Friable","Yellow",""
3646,"Rectangular cut, filled by 3645, W. of 3029 E. of W. baulk","Cutting",0.0,0.0,0.0,"","",""
3647,"Linear cut in W. half of area","Cutting",0.0,0.0,0.0,"","",""
3648,"Stone deposit in SE. quadrant of area","Accumulation",10.0,80.0,10.0,"Friable","Light Gray",""
3649,"Light brown silty deposit W. of 3031","Accumulation",10.0,80.0,10.0,"Friable","Light Brown","diagnostics poorly preserved for comparanda"
3650,"Fill of cut 3651, W. of 3029","Intentional Deposition",10.0,80.0,10.0,"Compact","Gray","diags too fragmentary to find comparanda"
3651,"Circular cut filled by 3650, W. of 3029","Cutting",0.0,0.0,0.0,"","",""
3652,"Fill of circular cut 3653, E. of 3031","Intentional Deposition",10.0,80.0,10.0,"Friable","Light Brown","no diagnostics in this SU"
3653,"Irregular cut E. of 3031","Cutting",10.0,80.0,10.0,"Friable","Brown",""
3654,"Fill of circular cut 3655, W. of 3029","Intentional Deposition",10.0,80.0,10.0,"Friable","Light Gray",""
3655,"Circular cut filled by 3654, W. of 3029","Cutting",10.0,80.0,10.0,"Friable","Light Gray",""
3656,"Fill of circular cut 3657, E. of 3031.","Intentional Deposition",10.0,80.0,10.0,"Loose","Brown","no well-preserved diagnostics in this SU"
3657,"Circular cut, filled by 3656, E. of 3031.","Cutting",0.0,0.0,0.0,"","",""
3658,"Deposit of stones in depression in center of Room 2","Intentional Deposition",10.0,80.0,10.0,"Friable","Gray","Many sherds are large and thick, likely from large storage vessels."
3659,"Fill of irregular cut 3660, W. of 3029","Intentional Deposition",10.0,80.0,10.0,"Loose","Brown",""
3660,"Circular cut filled by 3659, 3666, W. of 3029","Cutting",0.0,0.0,0.0,"","",""
3661,"Stone fill of cut 3653, below 3652","Intentional Deposition",10.0,80.0,10.0,"Friable","Light Brown",""
3662,"Fill of circular cut 3663 in NE. quadrant of Room 1","Intentional Deposition",10.0,80.0,10.0,"Friable","Gray","no diagnostics in this SU"
3663,"Circular cut filled by 3662, 3669, 3676 in NE quadrant of Room 1","Cutting",10.0,80.0,10.0,"Friable","Brown",""
3664,"Fill of circular cut 3665, W. of 3029","Intentional Deposition",0.0,0.0,0.0,"","",""
3665,"Circular cut filled by 3664, W. of 3029","Cutting",0.0,0.0,0.0,"","",""
3666,"Fill of irregular cut 3660, below 3659, W. of 3029","Intentional Deposition",10.0,80.0,10.0,"Loose","Brown",""
3667,"Fill of circular cut 3668, W. of 3029","Intentional Deposition",10.0,80.0,10.0,"Loose","Gray",""
3668,"Circular cut, filled by 3667, W. of 3029","Cutting",0.0,0.0,0.0,"","",""
3669,"Stone fill of circular cut 3663, below 3662, in NE quadrant of Room 1","Intentional Deposition",10.0,80.0,10.0,"Friable","Brown",""
3670,"Grey silty deposit in centre of Room 2","Accumulation",10.0,80.0,10.0,"Friable","Light Gray",""
3671,"Fill of cut 3672, E. of 3031","Intentional Deposition",10.0,80.0,10.0,"Friable","Brown","no diagnostics for comparanda in this SU"
